mod,snr_db,n,nmse_db,snr_gain_db,evm_pct,evm_pct_noisy,ber,ber_noisy
16QAM,-20.0,16,-0.18989794165827334,20.156437563011423,100.40339175330695,100.48669074977727,0.46470424107142855,0.46693638392857145
16QAM,-18.0,16,-0.3347416454926133,18.394994192756712,100.5713715658743,100.0795302664572,0.455078125,0.45619419642857145
16QAM,-16.0,16,-0.4982035178691149,16.548847319558263,99.4201036551625,98.95121913864801,0.4359654017857143,0.43680245535714285
16QAM,-14.0,16,-1.0659777335822582,15.100508909672499,92.55959282407902,92.56426465560051,0.4150390625,0.4111328125
16QAM,-12.0,16,-1.6285953745245934,13.615577541291714,89.09108665477646,89.44505761489631,0.38643973214285715,0.38546316964285715
16QAM,-10.0,16,-2.326027639210224,12.3093476369977,80.6899400953399,81.30492324543519,0.34779575892857145,0.3452845982142857
16QAM,-8.0,16,-3.403207093477249,11.355247378349304,74.00551441167522,74.65051262104814,0.3120814732142857,0.30873325892857145
16QAM,-6.0,16,-4.966231018304825,10.950862973928452,60.43888062895858,61.219114480671635,0.24330357142857142,0.23758370535714285
16QAM,-4.0,16,-6.078911066055298,10.137888446450233,53.321034762356476,53.55594976762994,0.20284598214285715,0.19489397321428573
16QAM,-2.0,16,-7.750950217247009,9.733975037932396,44.146660713622346,45.10232053068991,0.15206473214285715,0.14871651785714285
16QAM,0.0,16,-9.403517365455627,9.404824188561179,39.12773445275131,39.068525821544085,0.11160714285714286,0.10477120535714286
16QAM,2.0,16,-10.960677206516266,8.935673624277115,32.08773749687373,31.176866466185732,0.07435825892857142,0.06040736607142857
16QAM,4.0,16,-12.555497944355011,8.571764126420021,27.86975806612666,27.300646432056453,0.052734375,0.0400390625
16QAM,6.0,16,-14.175155401229858,8.208970129489899,23.605805068542306,22.520213236166825,0.029715401785714284,0.0205078125
16QAM,8.0,16,-16.101822078227997,8.105264872312546,20.57982038602993,19.686908534806207,0.016043526785714284,0.011997767857142858
16QAM,10.0,16,-17.939446568489075,7.9001705050468445,19.166696762330854,18.568179624206678,0.015345982142857142,0.013392857142857142
16QAM,12.0,16,-19.856581449508667,7.834518611431122,14.59264419540887,13.974894489515172,0.0004185267857142857,0.00027901785714285713
16QAM,14.0,16,-21.454309225082397,7.481596350669861,14.034443245240244,12.98400106539997,0.0005580357142857143,0.00013950892857142856
16QAM,16.0,16,-22.882793188095093,6.863905370235443,12.74762030253488,11.371579331253972,0.00027901785714285713,0.00013950892857142856
16QAM,18.0,16,-24.072227954864502,6.07444441318512,12.604432652544975,11.366296344076128,0.0013950892857142857,0.0008370535714285714
16QAM,20.0,16,-25.503512144088745,5.459424138069153,12.447574297095462,11.387703634524424,0.0012555803571428572,0.0005580357142857143
64QAM,-20.0,16,-0.2247080927772913,20.19464172181324,102.13673698865385,101.79083211594995,0.4818638392857143,0.48139880952380953
64QAM,-18.0,16,-0.2630940471426584,18.220604280068073,101.6505992416715,102.1385316158532,0.46633184523809523,0.4655877976190476
64QAM,-16.0,16,-0.6840739361941814,16.689487230032682,101.02874171904622,99.05489842079274,0.45786830357142855,0.45479910714285715
64QAM,-14.0,16,-1.010435901582241,15.016174219548702,93.5951883085865,93.87666633251492,0.453125,0.45284598214285715
64QAM,-12.0,16,-1.638954371213913,13.637529700994492,88.63515287629286,87.1238891901505,0.42606026785714285,0.42234002976190477
64QAM,-10.0,16,-2.2272315621376038,12.25879156589508,83.96952843965605,83.00396029255805,0.4133184523809524,0.40727306547619047
64QAM,-8.0,16,-3.5929184406995773,11.61239679157734,69.41492930348504,70.11677342513083,0.36569940476190477,0.35965401785714285
64QAM,-6.0,16,-4.784400254487991,10.778775811195374,64.82681811211222,66.1151396073235,0.3430059523809524,0.34151785714285715
64QAM,-4.0,16,-6.020671874284744,9.97589984536171,54.813467019443806,54.37008024659964,0.30236235119047616,0.29194568452380953
64QAM,-2.0,16,-7.7893591821193695,9.742104098200798,45.29368795200291,44.36006182149803,0.2501860119047619,0.2340029761904762
64QAM,0.0,16,-9.090114742517471,9.14809866194264,39.699195014963486,40.887091663600955,0.2230282738095238,0.21791294642857142
64QAM,2.0,16,-10.84330540895462,8.80398666113615,33.32324296044247,32.201204583588634,0.18722098214285715,0.16806175595238096
64QAM,4.0,16,-12.553300738334656,8.544246807694435,27.365448357678787,25.771000583192134,0.14992559523809523,0.1324404761904762
64QAM,6.0,16,-14.320774912834167,8.332216292619705,22.90467473602432,21.51715532046758,0.11039806547619048,0.0955171130952381
64QAM,8.0,16,-16.186260640621185,8.208336919546127,20.3414324032183,19.080111995420197,0.08835565476190477,0.07235863095238096
64QAM,10.0,16,-17.747255563735962,7.7377320528030396,19.337323874720934,17.97805496701137,0.07886904761904762,0.06668526785714286
64QAM,12.0,16,-19.344093322753906,7.334115087985992,16.144995844420592,14.847840545904326,0.05412946428571429,0.04138764880952381
64QAM,14.0,16,-21.101691007614136,7.104433357715607,14.679464727471002,13.363255159345083,0.04454985119047619,0.03264508928571429
64QAM,16.0,16,-22.438000202178955,6.3594213128089905,13.71049260446981,12.482948579795355,0.035342261904761904,0.026041666666666668
64QAM,18.0,16,-23.445916295051575,5.433343291282654,14.19258739122914,12.71327893757708,0.037760416666666664,0.026413690476190476
64QAM,20.0,16,-25.068305134773254,5.0204291343688965,12.652400760218352,11.232937404122943,0.025576636904761904,0.016183035714285716
8PSK,-20.0,16,-0.09666120409383439,20.112357372039696,104.88448189601453,108.4190552680827,0.4654017857142857,0.47079613095238093
8PSK,-18.0,16,-0.3827251307666302,18.355115067213774,99.76154142595513,99.44359139600019,0.4466145833333333,0.4497767857142857
8PSK,-16.0,16,-0.6074282266199589,16.638569448143244,96.28297316543356,96.6659325985992,0.4036458333333333,0.40438988095238093
8PSK,-14.0,16,-1.069783080369234,15.03400694206357,94.60913729503581,92.42370902502759,0.39248511904761907,0.3829985119047619
8PSK,-12.0,16,-1.5465336702764034,13.534993674606085,88.52665352117856,88.04937747930742,0.3404017857142857,0.34151785714285715
8PSK,-10.0,16,-2.437574364244938,12.38269255310297,79.15124974185812,79.51245039025578,0.29464285714285715,0.29482886904761907
8PSK,-8.0,16,-3.7184899002313614,11.678190842270851,69.0286045949436,71.76702997197259,0.24479166666666666,0.2379092261904762
8PSK,-6.0,16,-5.0974233746528625,11.133178055286407,57.76181494921141,62.66444295541168,0.18173363095238096,0.18340773809523808
8PSK,-4.0,16,-6.666073739528656,10.646692723035812,48.87952625409548,53.607083436298566,0.14471726190476192,0.14322916666666666
8PSK,-2.0,16,-8.298767447471619,10.275632083415985,39.38385109589945,45.06097779628246,0.09170386904761904,0.09077380952380952
8PSK,0.0,16,-10.589828610420227,10.53320162606542,30.033542738738802,35.51739224081087,0.05022321428571429,0.047061011904761904
8PSK,2.0,16,-12.14166384935379,10.154114946722984,27.54822848615609,31.60955728920938,0.037388392857142856,0.03366815476190476
8PSK,4.0,16,-13.910561680793762,9.91420827805996,20.685770092439977,23.889070513011063,0.011904761904761904,0.008742559523809524
8PSK,6.0,16,-15.235176146030426,9.256018847227097,18.718782871153568,20.784805923269467,0.005766369047619048,0.004650297619047619
8PSK,8.0,16,-17.171536922454834,9.182238847017288,15.228491403077467,16.565830141409258,0.00018601190476190475,0.0003720238095238095
8PSK,10.0,16,-18.708094716072083,8.726484537124634,13.300729620577783,14.301442863300396,0.0026041666666666665,0.0016741071428571428
8PSK,12.0,16,-20.6970237493515,8.694523215293884,10.557764215459137,11.221508490005663,0.0,0.0
8PSK,14.0,16,-21.88947558403015,7.864890456199646,12.365054593635417,12.360267454538542,0.005952380952380952,0.006138392857142857
8PSK,16.0,16,-23.967631578445435,7.972044408321381,8.49373168118425,8.721187071730899,0.0,0.0
8PSK,18.0,16,-25.23914349079132,7.2797558307647705,7.849104805420734,7.628946689449755,0.0,0.0
8PSK,20.0,16,-26.39848792552948,6.4197752475738525,7.820254484661584,7.574440819831646,0.0,0.0
BPSK,-20.0,16,-0.13733428833074868,20.134902418823913,103.16791078908886,102.86614049459558,0.40234375,0.40011160714285715
BPSK,-18.0,16,-0.2532034758478403,18.232168877497315,100.33339605879037,99.16804972743407,0.3984375,0.36216517857142855
BPSK,-16.0,16,-0.6744915153831244,16.69126014970243,101.20056382184254,99.8867324985732,0.34207589285714285,0.32979910714285715
BPSK,-14.0,16,-1.1213595606386662,15.114105019718409,92.45654066623126,93.03321410094438,0.25223214285714285,0.24274553571428573
BPSK,-12.0,16,-1.5530393868684769,13.520675614476204,90.31674717837711,91.42868976166977,0.21316964285714285,0.21540178571428573
BPSK,-10.0,16,-2.608900748193264,12.652308247983456,77.99431594480956,79.74513213001097,0.13504464285714285,0.13504464285714285
BPSK,-8.0,16,-4.316926926374435,12.333081156015396,64.36536944260317,72.39470047394745,0.08091517857142858,0.07533482142857142
BPSK,-6.0,16,-6.159472048282623,12.227629691362381,52.276112471800246,61.684374058759474,0.024553571428571428,0.029017857142857144
BPSK,-4.0,16,-8.146175146102905,12.158542558550835,42.0629892531431,55.07411079580412,0.013950892857142858,0.012834821428571428
BPSK,-2.0,16,-10.069294214248657,12.089758791029453,32.80548200047109,46.18885579598387,0.0027901785714285715,0.0005580357142857143
BPSK,0.0,16,-12.990636110305786,12.980213053670013,22.861120311750106,36.197106432619734,0.0,0.0
BPSK,2.0,16,-14.253173172473907,12.277256697416306,23.271698513569703,32.761042920292894,0.00390625,0.005022321428571429
