mod,snr_db,n,nmse_db,snr_gain_db,si_sdr_db,si_sdr_gain_db,excess_over_shrinkage_db,evm_pct,evm_pct_noisy,ber,ber_noisy
16QAM,-20.0,16,0.14616841258248314,19.819500504119787,0.05598211713368073,0.013617458695080131,-0.1897403781185858,101.79531695261097,105.62640545826011,0.49747983870967744,0.4993699596774194
16QAM,-18.0,16,0.07087636937285424,17.97653590689515,0.09837776352651417,0.03102100733667612,-0.13847437373260618,102.76610053890205,106.57130771324057,0.49001386088709675,0.49420362903225806
16QAM,-16.0,16,-0.03165209459257312,16.0869547741313,0.181197393219918,0.06743902014568448,-0.07479200439411215,103.44255370834958,103.62474264041877,0.48658014112903225,0.4814453125
16QAM,-14.0,16,-0.1589179972652346,14.15782192745246,0.2869838457554579,0.11579187074676156,-0.010718061355873942,104.53372847566303,105.49659471352984,0.4796811995967742,0.47952368951612906
16QAM,-12.0,16,-0.28529266314581037,12.291258313227445,0.4125162363052368,0.1615687571465969,0.019786026794463396,101.99184845867566,104.97558534478542,0.4651902721774194,0.4642137096774194
16QAM,-10.0,16,-0.6404527090489864,10.618720319122076,0.7279288582503796,0.2999756205826998,0.22438726015388966,99.31555897464723,101.33439677099788,0.4516759072580645,0.44928175403225806
16QAM,-8.0,16,-0.9409748129546642,8.884396981447935,1.0438368581235409,0.4103584624826908,0.29410403594374657,97.23269294588195,95.90609428357078,0.4215599798387097,0.42581275201612906
16QAM,-6.0,16,-1.487698145210743,7.490334697067738,1.565502367913723,0.5995529554784298,0.5146747455000877,92.6724870618929,94.63386874488717,0.40486391129032256,0.4017452116935484
16QAM,-4.0,16,-2.261224828660488,6.310335464775562,2.3186715990304947,0.8878185749053955,0.8193387314677238,85.1348314750591,86.14233870298,0.3717552923387097,0.3746849798387097
16QAM,-2.0,16,-3.3239588886499405,5.317760527133942,3.3698776215314865,1.2268149331212044,1.196336179971695,84.1637499898442,87.16165303168822,0.3634072580645161,0.36917212701612906
16QAM,0.0,16,-4.635066390037537,4.626044448566972,4.655835300683975,1.6347366869449615,1.6199996322393417,70.06410729713079,73.22456890148015,0.2926537298387097,0.29611895161290325
16QAM,2.0,16,-6.018390119075775,4.003626272082329,6.025684982538223,1.906593769788742,1.8843054622411728,57.7078010893061,60.319425644772046,0.2200415826612903,0.22719254032258066
16QAM,4.0,16,-7.601930350065231,3.6046096980571747,7.6074981689453125,2.16436305642128,2.148035764694214,54.952299541599665,57.81629908058067,0.2100554435483871,0.20942540322580644
16QAM,6.0,16,-9.391136884689331,3.414607048034668,9.399909794330597,2.424509584903717,2.436403512954712,45.94767738629948,47.02810773447906,0.15791960685483872,0.16100680443548387
16QAM,8.0,16,-11.192320466041565,3.1935518085956573,11.199776649475098,2.5357319116592407,2.5542224049568176,37.91925629914486,38.643184130846805,0.11139112903225806,0.11107610887096774
16QAM,10.0,16,-12.857972979545593,2.8449557423591614,12.864522993564606,2.4290412068367004,2.43211030960083,33.986142922921445,33.468913860545584,0.08247227822580645,0.07538432459677419
16QAM,12.0,16,-14.609961092472076,2.600532591342926,14.61943793296814,2.3468515872955322,2.3352550864219666,28.472960175004197,27.62713671423835,0.054183467741935484,0.04722152217741935
16QAM,14.0,16,-16.208627820014954,2.232577085494995,16.22996085882187,2.0848547220230103,2.0619945526123047,26.347024490951092,25.293306980446303,0.04848160282258065,0.04309475806451613
16QAM,16.0,16,-17.79422676563263,1.7860228419303894,17.83696436882019,1.7097706198692322,1.6783748269081116,22.865771068760832,20.886540429100638,0.026839717741935484,0.019121723790322582
16QAM,18.0,16,-19.32869279384613,1.3459486961364746,19.393715977668762,1.3373199701309204,1.2773553133010864,20.503175004082227,18.57790495071847,0.023752520161290324,0.017767137096774195
16QAM,20.0,16,-20.70669949054718,0.6674152612686157,20.836130738258362,0.752892255783081,0.6245615482330322,20.54212098682003,18.377429997598156,0.028509324596774195,0.024193548387096774
64QAM,-20.0,16,0.15715058194473386,19.822018429171294,0.04949068324640393,0.0034416932612657547,-0.20059058023616672,102.24186578222924,104.47283065314792,0.4983408938172043,0.4926915322580645
64QAM,-18.0,16,0.06855494459159672,17.878096990985796,0.10106238210573792,0.02919984725303948,-0.13772551878355443,102.39401925133885,102.76525799954035,0.4955057123655914,0.4926495295698925
64QAM,-16.0,16,-0.010128757712664083,16.029738030192675,0.16919909697026014,0.06476683006621897,-0.09716783624025993,103.61773494852227,106.33392396162819,0.48752520161290325,0.4864331317204301
