mod,snr_db,n,nmse_db,snr_gain_db,evm_pct,evm_pct_noisy,ber,ber_noisy
16QAM,-20.0,16,-0.18978295987471938,20.15632258122787,102.47258917615727,100.48669074977727,0.470703125,0.46693638392857145
16QAM,-18.0,16,-0.35320413019508123,18.41345667745918,99.94434106170971,100.0795302664572,0.46303013392857145,0.45619419642857145
16QAM,-16.0,16,-0.5140610076487064,16.564704809337854,99.8702073533623,98.95121913864801,0.4419642857142857,0.43680245535714285
16QAM,-14.0,16,-1.073766801506281,15.108297977596521,93.11096869787058,92.56426465560051,0.4111328125,0.4111328125
16QAM,-12.0,16,-1.6397468596696854,13.626729026436806,89.6752813512294,89.44505761489631,0.3978794642857143,0.38546316964285715
16QAM,-10.0,16,-2.275085471570492,12.258405469357967,81.98065327192057,81.30492324543519,0.3539341517857143,0.3452845982142857
16QAM,-8.0,16,-3.4801803827285767,11.432220667600632,72.23637202604073,74.65051262104814,0.3037109375,0.30873325892857145
16QAM,-6.0,16,-5.0015498995780945,10.986181855201721,61.51923622632991,61.219114480671635,0.2490234375,0.23758370535714285
16QAM,-4.0,16,-6.189812868833542,10.248790249228477,53.15968116032687,53.55594976762994,0.20382254464285715,0.19489397321428573
16QAM,-2.0,16,-7.895986080169678,9.879010900855064,44.23332206675547,45.10232053068991,0.15290178571428573,0.14871651785714285
16QAM,0.0,16,-9.576060175895691,9.577366999001242,38.685968799118434,39.068525821544085,0.11607142857142858,0.10477120535714286
16QAM,2.0,16,-11.190874814987183,9.165871232748032,31.524838034655197,31.176866466185732,0.07254464285714286,0.06040736607142857
16QAM,4.0,16,-12.740010619163513,8.756276801228523,28.11266805782229,27.300646432056453,0.051060267857142856,0.0400390625
16QAM,6.0,16,-14.425631046295166,8.459445774555206,23.754095078587454,22.520213236166825,0.02734375,0.0205078125
16QAM,8.0,16,-15.97212541103363,7.975568205118179,21.030460372080377,19.686908534806207,0.016043526785714284,0.011997767857142858
16QAM,10.0,16,-17.5536447763443,7.514368712902069,20.0173143376461,18.568179624206678,0.017438616071428572,0.013392857142857142
16QAM,12.0,16,-18.94732391834259,6.925261080265045,15.658994215127377,13.974894489515172,0.0020926339285714285,0.00027901785714285713
