mod,snr_db,n,nmse_db,snr_gain_db,si_sdr_db,si_sdr_gain_db,excess_over_shrinkage_db,evm_pct,evm_pct_noisy,ber,ber_noisy
16QAM,-20.0,16,-0.1715195713331923,20.13805919268634,0.30634492728859186,0.25452761142514646,0.12795334437396377,101.12108784473853,100.48669074977727,0.46470424107142855,0.46693638392857145
16QAM,-18.0,16,-0.3650937294587493,18.42534627672285,0.46857078187167645,0.3963434590259567,0.29767445009201765,100.3542900014739,100.0795302664572,0.46107700892857145,0.45619419642857145
16QAM,-16.0,16,-0.5607250239700079,16.611368825659156,0.6600177772343159,0.5525471582077444,0.454182265792042,97.74008402669169,98.95121913864801,0.4267578125,0.43680245535714285
16QAM,-14.0,16,-1.150706758722663,15.185237934812903,1.1887404657900333,1.01488421484828,0.9824218833819032,92.37422763941792,92.56426465560051,0.41043526785714285,0.4111328125
16QAM,-12.0,16,-1.6659563779830933,13.652938544750214,1.7216953188180923,1.442907290533185,1.3993101939558983,89.24751708193057,89.44505761489631,0.39773995535714285,0.38546316964285715
16QAM,-10.0,16,-2.3369097635149956,12.320229761302471,2.3874460607767105,1.9691960141062737,1.9212772864848375,80.35754626171106,81.30492324543519,0.3500279017857143,0.3452845982142857
16QAM,-8.0,16,-3.4599611312150955,11.41200141608715,3.5099001228809357,2.8549387603998184,2.8142749667167664,72.67632173655588,74.65051262104814,0.30398995535714285,0.30873325892857145
16QAM,-6.0,16,-4.969496369361877,10.954128324985504,4.993728488683701,3.9947162233293056,3.9929277896881104,60.21872683538906,61.219114480671635,0.24525669642857142,0.23758370535714285
16QAM,-4.0,16,-6.095661133527756,10.154638513922691,6.123828500509262,4.641396947205067,4.656524017453194,52.33704635290011,53.55594976762994,0.19893973214285715,0.19489397321428573
16QAM,-2.0,16,-7.788711607456207,9.771736428141594,7.819568395614624,5.668056488037109,5.656753167510033,43.1079286453232,45.10232053068991,0.14188058035714285,0.14871651785714285
16QAM,0.0,16,-9.421178460121155,9.422485283226706,9.438205271959305,6.408066764473915,6.41121631860733,37.530157542109194,39.068525821544085,0.10770089285714286,0.10477120535714286
16QAM,2.0,16,-11.034562706947327,9.009559124708176,11.062711298465729,6.906901583075523,6.894262880086899,31.519912372151246,31.176866466185732,0.06821986607142858,0.06040736607142857
16QAM,4.0,16,-12.398071885108948,8.414338067173958,12.440004587173462,6.999578833580017,6.9538988173007965,28.237267517807965,27.300646432056453,0.052455357142857144,0.0400390625
16QAM,6.0,16,-13.842775702476501,7.876590430736542,13.897989153862,6.92760843038559,6.896346181631088,25.087290086489666,22.520213236166825,0.03529575892857143,0.0205078125
16QAM,8.0,16,-15.185425221920013,7.188868016004562,15.264641642570496,6.626057028770447,6.549302756786346,22.725058480865368,19.686908534806207,0.025948660714285716,0.011997767857142858
16QAM,10.0,16,-16.279488265514374,6.2402122020721436,16.362751066684723,5.890652179718018,5.82972776889801,21.665679111332665,18.568179624206678,0.024553571428571428,0.013392857142857142
16QAM,12.0,16,-17.558093011379242,5.536030173301697,17.678025126457214,5.378076076507568,5.2715349197387695,18.44128807234128,13.974894489515172,0.006277901785714286,0.00027901785714285713
16QAM,14.0,16,-18.125550508499146,4.152837634086609,18.298510313034058,4.149707019329071,3.9821258187294006,18.37181254832793,12.98400106539997,0.005440848214285714,0.00013950892857142856
16QAM,16.0,16,-18.8252415060997,2.8063536882400513,18.997509121894836,2.8699074387550354,2.698957622051239,17.624726896731154,11.371579331253972,0.0048828125,0.00013950892857142856
16QAM,18.0,16,-19.429364800453186,1.4315812587738037,19.703988909721375,1.628820776939392,1.3632287979125977,17.31701388673955,11.366296344076128,0.010463169642857142,0.0008370535714285714
16QAM,20.0,16,-19.615406394004822,-0.4286816120147705,19.838654041290283,-0.24357926845550537,-0.4714818000793457,17.747232893557886,11.387703634524424,0.0087890625,0.0005580357142857143
64QAM,-20.0,16,-0.2192420563660562,20.189175685402006,0.3374497573822737,0.28035985375754535,0.17571026924997568,102.49382424856375,101.79083211594995,0.48521205357142855,0.48139880952380953
64QAM,-18.0,16,-0.2846191078424454,18.24212934076786,0.4145875354297459,0.3516717840684578,0.2156252502463758,102.90448885631133,102.1385316158532,0.47163318452380953,0.4655877976190476
