mod,snr_db,n,nmse_db,snr_gain_db,evm_pct,evm_pct_noisy,ber,ber_noisy
BPSK,-4.0,16,-5.751292586326599,9.763659998774529,52.01283875467947,55.07411079580412,0.012276785714285714,0.012834821428571428
BPSK,-2.0,16,-7.056361734867096,9.076826311647892,43.9515852172274,46.18885579598387,0.0016741071428571428,0.0005580357142857143
BPSK,0.0,16,-8.813232660293579,8.802809603657806,34.27299225782049,36.197106432619734,0.0,0.0
BPSK,2.0,16,-10.176173210144043,8.200256735086441,31.5046021018968,32.761042920292894,0.004464285714285714,0.005022321428571429
BPSK,4.0,16,-11.707412362098694,7.770946741104126,25.330142157137367,25.835387873969278,0.0,0.0
BPSK,6.0,16,-13.318379640579224,7.354096472263336,20.703358757610715,20.817050521640716,0.0,0.0
BPSK,8.0,16,-15.208136856555939,7.275836259126663,16.818182104845746,16.85785466259167,0.0,0.0
BPSK,10.0,16,-17.123636960983276,7.123505592346191,13.411097033193549,13.473462673934506,0.0,0.0
BPSK,12.0,16,-18.8154559135437,6.82374632358551,14.28652688820294,13.961334736582394,0.0,0.0
BPSK,14.0,16,-20.37351644039154,6.392829060554504,10.058018477205753,9.860391794218112,0.0,0.0
BPSK,16.0,16,-22.007104635238647,5.991276383399963,9.71214576261329,9.340123626081034,0.0,0.0
BPSK,18.0,16,-23.524170517921448,5.497061133384705,8.539389039697088,8.396879404652072,0.0,0.0
BPSK,20.0,16,-24.844502091407776,4.82289731502533,7.9512381143577455,7.796533246296155,0.0,0.0
PAM4,-20.0,16,1.2355672307312489,18.820243578404188,104.28578609510186,105.11943562834745,0.47684151785714285,0.45982142857142855
PAM4,-18.0,16,0.7557534035295248,17.284257167950273,108.34531112239806,107.45660764308886,0.47237723214285715,0.466796875
PAM4,-16.0,16,-0.05425147371715866,16.11628792839474,97.96648100475315,98.01728267896765,0.40122767857142855,0.39871651785714285
PAM4,-14.0,16,-0.5752792563289404,14.54527380131185,93.01209540532716,93.19662494711743,0.39369419642857145,0.38253348214285715
PAM4,-12.0,16,-1.1613381579518318,13.138099797070026,89.02127851148026,89.14296180894253,0.35072544642857145,0.34151785714285715
PAM4,-10.0,16,-1.8640471398830414,11.898433536291122,82.27767280419917,82.33860380375305,0.3125,0.3060825892857143
PAM4,-8.0,16,-2.904573976993561,10.827637523412704,76.06033113475482,75.56817372670432,0.27762276785714285,0.26478794642857145
